Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
38,1.0,0.0,0.0,1177.0,18.0,31.0,2182.0,0.1,13.206999999999994,0.0,0.0,299.37349486351013,,,,,,,,,,,,,,,,,,,,,3.7824873618253547,4.4023835180346955,13.115961699220158,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1207.0,19.0,30.0,2212.0,0.1,11.806999999999993,0.0,0.0,302.47215723991394,,,,,,,,,,,,,,,,,,,,,3.226734640177368,3.9079880618392884,11.733653534209566,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1302.0,20.0,95.0,2307.0,0.1,56.208999999999996,0.0,0.0,311.51224875450134,,,,,,,,,,,,,,,,,,,,,19.08361396827885,17.304332602158713,54.50501219238609,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,144.0,1.0,144.0,2451.0,0.1,111.50899999999999,0.0,0.0,535.802717924118,,,,,,,,,,,,,,,,,,,,,46.291585960784474,34.121428294734,105.05301259382206,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,180.0,2.0,36.0,2487.0,0.1,21.606000000000016,0.0,0.0,539.618974685669,,,,,,,,,,,,,,,,,,,,,7.463178057474527,7.450652772042211,21.38006433854367,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,283.0,3.0,103.0,2590.0,0.1,36.40600000000006,0.0,0.0,549.175717830658,,,,,,,,,,,,,,,,,,,,,11.410351369779564,9.047848237226642,35.30130110983126,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,354.0,4.0,71.0,2661.0,0.1,42.506,0.0,0.0,556.0006654262543,,,,,,,,,,,,,,,,,,,,,15.914142000369278,13.289473733630246,41.45897240380898,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,504.0,5.0,150.0,2811.0,0.1,100.80499999999998,0.0,0.0,569.7097573280334,,,,,,,,,,,,,,,,,,,,,41.321148382039496,27.560750550677227,94.79632559756362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,540.0,6.0,36.0,2847.0,0.1,18.70700000000002,0.0,0.0,573.3585715293884,,,,,,,,,,,,,,,,,,,,,5.846676948604599,6.358280791875681,18.533568232747502,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,580.0,7.0,40.0,2887.0,0.1,16.20800000000001,0.0,0.0,577.5744156837463,,,,,,,,,,,,,,,,,,,,,4.3468266739364,5.203356888795733,16.06624335350621,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,669.0,8.0,89.0,2976.0,0.1,49.707000000000015,0.0,0.0,586.3075361251831,,,,,,,,,,,,,,,,,,,,,17.91599300853172,14.550171818561731,48.208846105605794,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,700.0,9.0,31.0,3007.0,0.1,14.705999999999994,0.0,0.0,589.5367584228516,,,,,,,,,,,,,,,,,,,,,4.460691997968532,4.983560965676438,14.596897746658549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,739.0,10.0,39.0,3046.0,0.1,18.90600000000002,0.0,0.0,593.4448864459991,,,,,,,,,,,,,,,,,,,,,5.796912265762308,6.207718748882151,18.717336377053005,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
